INSTNM,STABBR,IS_PUBLIC,Affordability_Score,Access_Score,Outcomes_Score,Overall_Score
Samuel Merritt University,CA,0,0.653683861655598,0.8066326087181004,0.6551975230548797,0.7051713311428593
Chamberlain University-Florida,FL,0,0.6092622200722525,0.8381511432861755,0.6087528220879885,0.6853887284821388
Roseman University of Health Sciences,NV,0,0.653683861655598,0.797838293420365,0.5906553710229715,0.6807258420329781
American University of Health Sciences,CA,0,0.635233338293618,0.8757355868891699,0.5163850454366983,0.6757846568731619
The King's University,TX,0,0.6762851457653434,0.8823384182088538,0.46628738453248664,0.6749703161688947
Chamberlain University-Virginia,VA,0,0.6501940541382274,0.8605336395361851,0.5130145885266897,0.6745807607337007
SUNY Downstate Health Sciences University,NY,1,0.653683861655598,0.8076321049287599,0.5611128267213025,0.6741429311018868
Brazosport College,TX,1,0.8374278045176446,0.7037234492194653,0.4787035324358296,0.6732849287243132
Seattle Central College,WA,1,0.7606608799678449,0.8825345143487917,0.37568455253697686,0.6729599822845378
Mid-South Christian College,TN,0,0.706581423357258,0.847381141418411,0.46357563517625977,0.6725127333173097
California State University Maritime Academy,CA,1,0.6117312103038606,0.8831339928899129,0.5224415822402692,0.6724355951446809
South Seattle College,WA,1,0.7575986238536832,0.874093453489086,0.37898228589540023,0.6702247877460565
Green River College,WA,1,0.7281889412551418,0.8857515821584112,0.396396779440391,0.670112434284648
Elim Bible Institute and College,NY,0,0.715213528381799,0.8302268015660231,0.46357563517625977,0.6696719883746939
California State University-East Bay,CA,1,0.6348191984934,0.9062622131174404,0.467474404571049,0.669518605393963
Highline College,WA,1,0.730507273665762,0.889575,0.38844473878051167,0.6695090041487579
Renton Technical College,WA,1,0.7539204832651639,0.858105810433835,0.3937955139413802,0.6686072692134597
Dallas College,TX,1,0.8090012358627083,0.7681334186341677,0.42641503465972697,0.6678498963855343
San Francisco State University,CA,1,0.6213410760556133,0.9039754089068811,0.478087141823573,0.667801208928689
Northeastern University Professional Programs,MA,0,0.653683861655598,0.8359990253812395,0.513386597463645,0.6676898281668274
Georgia State University-Perimeter College,GA,1,0.723997330373761,0.886697731350865,0.3870881648374791,0.6659277421873684
St. John Vianney College Seminary,FL,0,0.6405985354418793,0.8921595217554399,0.46357563517625977,0.6654445641245262
North Seattle College,WA,1,0.7503678926893267,0.8570009863948436,0.38805035336614546,0.6651397441501052
Shoreline Community College,WA,1,0.7229593994316061,0.867891817770072,0.4000245658406243,0.6636252610141008
MIAT College of Technology,MI,0,0.6520157742176181,0.9063541734481426,0.4295782983809987,0.6626494153489199
Metropolitan State University,MN,1,0.6817318785569371,0.8762325537156759,0.4283344869494149,0.662099639740676
Cochran School of Nursing,NY,0,0.653683861655598,0.796458351695045,0.5328681181094626,0.6610034438200352
Pierce College District,WA,1,0.7467927016837488,0.8482134044681836,0.38750212966957975,0.6608360786071706
American Public University System,WV,0,0.7413412594368392,0.790551306273674,0.44993515671756956,0.6606092408093609
Quincy College,MA,1,0.7238548749111404,0.8073700047530111,0.4490142445970239,0.6600797080870585
California State University-Sacramento,CA,1,0.6332889276085639,0.8865991280335779,0.4588513288756377,0.6595797948392599
University of North Carolina at Pembroke,NC,1,0.7309175527286773,0.8871558663572785,0.35948156986252244,0.6591849963161595
Kapiolani Community College,HI,1,0.7713519977555205,0.825539326562339,0.37929835363882847,0.6587298926522293
Skyline College,CA,1,0.7618821729768674,0.8033606122882413,0.410354107225406,0.6585322974968383
Camden County College,NJ,1,0.8000160964012808,0.8045353952911928,0.3698247125150117,0.6581254014024952
Brigham Young University-Idaho,ID,0,0.7793699627454704,0.8118008822916204,0.3827125221295409,0.6579611223888773
The University of Texas Medical Branch at Galveston,TX,1,0.653683861655598,0.805508045806812,0.5145697537067435,0.6579205537230511
Unitek College,CA,0,0.653683861655598,0.8011481664741038,0.5177644655803361,0.6575321645700126
Bunker Hill Community College,MA,1,0.7342712526175045,0.8489466031493913,0.38774267680174634,0.6569868441895474
Canada College,CA,1,0.786886778369611,0.7891405374167149,0.39464861714266863,0.6568919776429981
Central Arizona College,AZ,1,0.8276968373396784,0.7744367546309433,0.36786956780123903,0.6566677199239536
Clover Park Technical College,WA,1,0.7666153307746769,0.8318000231178675,0.3714330218289162,0.6566161252404868
Howard Community College,MD,1,0.7323507567734248,0.845160969799751,0.3916641544679971,0.6563919603470576
Tacoma Community College,WA,1,0.7177655473015906,0.8648930570786124,0.3864839999473863,0.6563808681091965
Bellevue College,WA,1,0.6980304955295134,0.8571737859872757,0.4120547195086302,0.6557530003418064
Mercer County Community College,NJ,1,0.7641996492597313,0.827454168584524,0.3755642789708936,0.6557393656050498
Pacific Rim Christian University,HI,0,0.68191860091273,0.8766734460068161,0.4086036175912016,0.6557318881702492
West Coast University-Dallas,TX,0,0.6246433424689322,0.8013130489214687,0.5411928468570364,0.6557164127491457
College of San Mateo,CA,1,0.7448646698925567,0.8157665667719538,0.40607460592058175,0.6555686141950308
Metropolitan Community College Area,NE,1,0.8178807693418861,0.7851334617131438,0.36300268396438007,0.6553389716731367
North Hennepin Community College,MN,1,0.7696281958918868,0.7984873349481243,0.3975995151012238,0.6552383486470784
Santa Ana College,CA,1,0.7565600719179905,0.7367274190184989,0.4721080657189829,0.6551318522184907
Chamberlain University-Texas,TX,0,0.5915476549470775,0.8611778536562535,0.5124754351598924,0.6550669812544078
University of North Texas Health Science Center,TX,1,0.653683861655598,0.7950368244239849,0.5163990307350801,0.6550399056048877
University of Maryland Baltimore,MD,1,0.653683861655598,0.809195986634958,0.5011802290360285,0.6546866924421949
Sinclair Community College,OH,1,0.7869504858042882,0.7208885690300331,0.4553424900189067,0.6543938482844093
Miami Ad School-New York,NY,0,0.6540569960849755,0.7570213918629622,0.5515776502846059,0.6542186794108479
Benjamin Franklin Cummings Institute of Technology,MA,0,0.6413700214504144,0.8093351197266518,0.5112780894266682,0.6539944102012448
Touro University Nevada,NV,0,0.653683861655598,0.7602204728906252,0.5476981285135005,0.6538674876865745
Middlesex College,NJ,1,0.7609582522171308,0.8149177121800019,0.3856253026267451,0.653833755674626
Charter Oak State College,CT,1,0.7035253099875641,0.72742994387953,0.5298869274534628,0.6536140604401856
Palo Alto University,CA,0,0.653683861655598,0.8197309435152969,0.4872312924300427,0.6535486992003126
Los Angeles County College of Nursing and Allied Health,CA,1,0.653683861655598,0.7294652187697411,0.5771036168910282,0.6534175657721225
CUNY Queensborough Community College,NY,1,0.7745808086832989,0.8067373058311436,0.37822148566343144,0.653179866725958
Northern Virginia Community College,VA,1,0.717856283740937,0.83729397783717,0.40435441421962304,0.65316822526591
Lake Washington Institute of Technology,WA,1,0.724785286563698,0.8379981643497565,0.3962765058743076,0.6530199855959208
Texas A&M University-Central Texas,TX,1,0.7135467735390745,0.8759689420460384,0.367837401614961,0.6524510390666913
Coffeyville Community College,KS,1,0.792217969489042,0.8108927332008742,0.3531374544858735,0.6520827190585966
Miami Ad School-Atlanta,GA,0,0.6307747531432142,0.7727520721922541,0.5515776502846059,0.651701491873358
Houston Community College,TX,1,0.7808245835256061,0.8079971264985959,0.3643480696687072,0.6510565932309696
Golden Gate University,CA,0,0.6109790097616814,0.8430663578554551,0.49911040487552544,0.6510519241642206
St. Peter's Hospital College of Nursing,NY,0,0.6709491829029589,0.8521484555412648,0.4296146601567914,0.6509040995336717
Durham Technical Community College,NC,1,0.7891372305604591,0.8077341765248323,0.3556436199558882,0.6508383423470598
MCPHS University,MA,0,0.4534064200846817,0.8794799228188918,0.6192600560419389,0.6507154663151707
College of the Mainland,TX,1,0.8490592899252861,0.7376369019886562,0.3654249376441041,0.6507070431860155
Florida State College at Jacksonville,FL,1,0.7961456796570523,0.7816197878650093,0.37271127810101073,0.6501589152076908
Diablo Valley College,CA,1,0.7318521809912971,0.8201885178583495,0.39825962118484387,0.6501001066781634
Solano Community College,CA,1,0.7645701715272482,0.8075440161151086,0.3780984150376719,0.6500708675600095
Humphreys University-Stockton and Modesto Campuses,CA,0,0.6931541203046806,0.7968662347942519,0.46006952087194786,0.6500299586569601
Tarrant County College District,TX,1,0.7668375477074002,0.808566664098693,0.3740622579246906,0.649822156576928
Eastern New Mexico University Ruidoso Branch Community College,NM,1,0.8062529015973416,0.780364072512852,0.36237893965655277,0.6496653045889155
Edmonds College,WA,1,0.6933075160961842,0.8664481641877994,0.38921393019150946,0.6496565368251643
Collin County Community College District,TX,1,0.757283960201826,0.8003166326350858,0.3907718924312396,0.6494574950893838
Centra College,VA,0,0.6478448468475813,0.7816667835797757,0.518455344556197,0.649322324994518
Chamberlain University-Louisiana,LA,0,0.5830104055347256,0.7556440029069986,0.6087528220879885,0.6491357435099042
Mount Sinai Phillips School of Nursing,NY,0,0.653683861655598,0.7677276409139525,0.5258111365460171,0.6490742130385225
The University of Texas Health Science Center at Houston,TX,1,0.653683861655598,0.7902915725568234,0.5028109148273441,0.6489287830132552
Massachusetts Bay Community College,MA,1,0.745718791333432,0.7987748734807596,0.4018286693318738,0.6487741113820218
Oklahoma City Community College,OK,1,0.7661814317861576,0.8188048814359167,0.36124892754730503,0.6487450802564597
St Paul's School of Nursing-Queens,NY,0,0.6036479919674426,0.7939680478785732,0.5465737105236055,0.6480632501232071
The University of Texas MD Anderson Cancer Center,TX,1,0.653683861655598,0.7834611888328595,0.5069365778499687,0.6480272094461421
Georgia Gwinnett College,GA,1,0.6905105137663029,0.889787249372618,0.3636014912057618,0.6479664181148942
Bates Technical College,WA,1,0.7192836560866251,0.8292258702044839,0.39454792299431984,0.6476858164284763
Tulsa Community College,OK,1,0.754275557529455,0.8229136600614124,0.36572422302947416,0.6476378135401138
DeVry University-New Jersey,NJ,0,0.6610117465578403,0.897848741706511,0.3831806724696102,0.6473470535779872
Irvine Valley College,CA,1,0.748182871225207,0.8012407427928496,0.39204455458398146,0.6471560562006794
Cosumnes River College,CA,1,0.7346259255051776,0.8323084921440449,0.37327628415563463,0.6467369006016191
CUNY Kingsborough Community College,NY,1,0.7629711906217692,0.8034674254448044,0.3737657695989969,0.6467347952218568
Honolulu Community College,HI,1,0.7629983185173741,0.7962148403965952,0.38071366583506444,0.6466422749163446
Frederick Community College,MD,1,0.8011128076036771,0.7541474944701829,0.38447291404008654,0.6465777387046489
University of Nevada-Las Vegas,NV,1,0.6147458790278088,0.9055796111033452,0.4192386189218049,0.6465213696843196
Unitek College,CA,0,0.653683861655598,0.78498353688937,0.500349502312151,0.6463389669523729
Central Piedmont Community College,NC,1,0.7742208618228893,0.8039241253168451,0.3604629537782491,0.6462026469726612
Lawrence Memorial Hospital School of Nursing,MA,0,0.6205308793964843,0.7796729196130076,0.5383587462541488,0.6461875150878802
Raritan Valley Community College,NJ,1,0.7674779299637688,0.7815322362805364,0.3892167272511859,0.6460756311651638
Independence Community College,KS,1,0.7915530809300001,0.794204016665808,0.352284351284585,0.6460138162934643
Oakton College,IL,1,0.7508718224057993,0.7986308860836651,0.38839718876601365,0.6459666324184926
San Diego Miramar College,CA,1,0.7634671072059999,0.7843815044153297,0.389437694965618,0.6457621021956492
North Central Texas College,TX,1,0.7938054513729673,0.7606987163896497,0.38268279584721887,0.6457289878699454
Colorado State University Global,CO,1,0.7277097296333002,0.8125295028895497,0.39665564049008195,0.645631624337644
Chabot College,CA,1,0.7498281273414743,0.7971204107269976,0.3892111331318332,0.6453865570667684
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,NJ,0,0.5336152040550294,0.9401883274944061,0.4612382168576691,0.6450139161357015
Chamberlain University-Illinois,IL,0,0.5993617003022983,0.8157705161700262,0.5198695384759702,0.6450005849827648
