feature,importance
ENG_RATIO,0.3117505224436443
ENG_HEAVY,0.24649266868499595
STEM_RATIO,0.19660588047575236
STEM_HEAVY,0.0723994278997147
UGDS_MEN,0.049726331452671385
UGDS_WOMEN,0.028760699751246874
AFFORDABILITY_INDEX,0.02435176721185552
COSTT4_A,0.020523207748615133
TUITIONFEE_IN,0.012816049854166138
IS_PRIVATE,0.007118029825785696
UGDS,0.007112255458420378
TUITIONFEE_OUT,0.00656693611972902
RET_FT4,0.006540701755423806
DIVERSITY_SCORE,0.0047344546395230135
TUITION_GAP,0.0015879963375664153
ADM_RATE,0.0009279323527230397
CONTROL,0.0008567285941400068
IS_PUBLIC,0.0007332320293286222
IS_FORPROFIT,0.0003951773646976785
GRAD_RATE,0.0
